rigatoni,pasta
parsley,tomato,onion,carrot,rosemary,white_wine,bay_leaf,white,garlic,thyme,peppercorn,basil,lemon,oregano,red_pepper
parsley,tomato,onion,carrot,rosemary,white_wine,bay_leaf,white,garlic,thyme,peppercorn,basil,chicken_stock
parsley,tomato,onion,carrot,rosemary,white_wine,bay_leaf,white,garlic,thyme,sage,chicken_stock
parsley,tomato,onion,carrot,rosemary,white_wine,bay_leaf,white,garlic,thyme,mushroom,chicken_stock
parsley,tomato,onion,carrot,rosemary,white_wine,bay_leaf,white,chicken,peppercorn,lemon
parsley,tomato,onion,carrot,rosemary,white_wine,bay_leaf,white,veal
parsley,tomato,onion,carrot,rosemary,white_wine,flour,garlic,white,basil,lemon,oregano
parsley,tomato,onion,carrot,rosemary,white_wine,flour,garlic,white,sage
parsley,tomato,onion,carrot,rosemary,white_wine,flour,garlic,white,mushroom
parsley,tomato,onion,carrot,bread,basil,flour,garlic
parsley,tomato,mint,basil
parsley,tomato,pine_nut,basil,pasta
parsley,tomato,squid
parsley,tomato,shrimp,white_wine
parsley,tomato,eggplant,basil
parsley,tomato,mussel
parsley,tomato,ricotta,egg,pasta,basil,cheese
parsley,tomato,ricotta,egg,pasta,nutmeg
parsley,tomato,ricotta,egg,flour,basil,cheese
parsley,tomato,ricotta,egg,flour,nutmeg
parsley,tomato,black_olive,caper,anchovy
parsley,tomato,spaghetti,pasta,basil
parsley,tomato,mozzarella,basil,oregano,pasta
parsley,tomato,mozzarella,basil,oregano,flour
parsley,vegetable_oil,flour
parsley,tuna
parsley,rice,onion
parsley,stock,celery,onion
sugar,flour,egg,heavy_cream,milk
sugar,flour,egg,lemon,milk,butter
sugar,flour,cinnamon,orange
cinnamon,flour,nutmeg
linguine,pasta
